,osl_property_id,asset_name,employer_name,old_commute,new_commute,closest_asset,is_closest_asset
416,2691034,Cortland Park 83,Wellstar north Fulton ,55.12833333333333,11.35,Cortland Lex,False
425,2691034,Cortland Park 83,The Cottage School ,7.198333333333333,6.245,Cortland Park 83,True
426,2691034,Cortland Park 83,The Cottage School ,7.198333333333333,5.9399999999999995,Cortland Park 83,True
429,2690752,Cortland Old Fourth Ward,Home Depot ,5.23,14.101666666666667,East Ridge Park,False
430,2690752,Cortland Old Fourth Ward,Tiff's Treats,3.315,6.006666666666666,Cortland Old Fourth Ward,True
435,2691034,Cortland Park 83,Therapyland Teen,16.404999999999998,15.21,Cortland Windward,False
436,2691034,Cortland Park 83,Therapyland Teen,16.404999999999998,14.905,Cortland Windward,False
437,2691034,Cortland Park 83,Ups,15.461666666666668,11.363333333333333,Cortland Lex,False
438,2691034,Cortland Park 83,Ups,15.461666666666668,11.058333333333334,Cortland Lex,False
443,2691034,Cortland Park 83,Cooper’s Hawk Winery and Restaurant,10.854999999999999,9.585,Cortland Lex,False
444,2691034,Cortland Park 83,Cooper’s Hawk Winery and Restaurant,10.854999999999999,9.28,Cortland Lex,False
447,2691034,Cortland Park 83,Higher Purpose appraisals LLC. ,0.0,6.071666666666667,Cortland Park 83,True
448,2691034,Cortland Park 83,Higher Purpose appraisals LLC. ,0.0,5.766666666666667,Cortland Park 83,True
451,2691034,Cortland Park 83,ThredUP,11.955,31.811666666666667,Cortland Sugarloaf,False
452,2691034,Cortland Park 83,ThredUP,11.955,31.506666666666668,Cortland Sugarloaf,False
453,2691034,Cortland Park 83,J.M. Wilkerson,20.255,29.646666666666665,Cortland Woodlands,False
454,2691034,Cortland Park 83,J.M. Wilkerson,20.255,29.341666666666665,Cortland Woodlands,False
455,2691034,Cortland Park 83,Atlanta Dream WNBA,25.196666666666665,30.743333333333332,Cortland Old Fourth Ward,False
456,2691034,Cortland Park 83,Atlanta Dream WNBA,25.196666666666665,30.438333333333333,Cortland Old Fourth Ward,False
457,2691034,Cortland Park 83,Atria North Point ,53.96666666666667,9.761666666666667,Cortland Lex,False
458,2691034,Cortland Park 83,Atria North Point ,53.96666666666667,9.456666666666667,Cortland Lex,False
459,2691034,Cortland Park 83,Northside Hospital,35.818333333333335,17.69,Cortland at the Hill,False
460,2691034,Cortland Park 83,Northside Hospital,35.818333333333335,17.384999999999998,Cortland at the Hill,False
461,2691034,Cortland Park 83,Morgan Stanley,84.21666666666667,13.428333333333335,Cortland Windward,False
462,2691034,Cortland Park 83,Morgan Stanley,84.21666666666667,13.123333333333333,Cortland Windward,False
463,2691034,Cortland Park 83,Ingo Money,60.193333333333335,10.976666666666667,Cortland Lex,False
464,2691034,Cortland Park 83,Ingo Money,60.193333333333335,10.671666666666665,Cortland Lex,False
465,2691034,Cortland Park 83,Quiktrip,63.526666666666664,10.773333333333333,The Addison at Sandy Springs,False
466,2691034,Cortland Park 83,Quiktrip,63.526666666666664,10.468333333333334,The Addison at Sandy Springs,False
473,2691034,Cortland Park 83,Moove cars Llc ,42.10666666666667,46.92166666666667,1250 West,False
474,2691034,Cortland Park 83,Moove cars Llc ,42.10666666666667,46.61666666666667,1250 West,False
475,2691034,Cortland Park 83,Emory University ,36.13333333333333,29.955,Decatur Highlands,False
476,2691034,Cortland Park 83,Emory University ,36.13333333333333,29.65,Decatur Highlands,False
478,2690752,Cortland Old Fourth Ward,ABM,5.4399999999999995,4.861666666666666,Cortland Old Fourth Ward,True
479,2690752,Cortland Old Fourth Ward,Unforgettable Catering ,35.236666666666665,31.895,Cortland East Cobb,False
481,2690752,Cortland Old Fourth Ward,Proco,43.845,22.171666666666667,Cortland Woodlands,False
483,2690752,Cortland Old Fourth Ward,City of Atlanta Police Department,4.665,3.506666666666667,GE Tower,False
484,2690752,Cortland Old Fourth Ward,Lakeview Behavioral Health,37.736666666666665,36.78,Canyon Springs Apartments,False
493,2691034,Cortland Park 83,Southern star delivery ,10.65,13.458333333333334,Hunters Ridge,False
494,2691034,Cortland Park 83,Southern star delivery ,10.65,13.153333333333334,Hunters Ridge,False
495,2691034,Cortland Park 83,American Honda Motor Company,11.020000000000001,8.401666666666667,Cortland Lex,False
